FAKE_IIN;FLREQUESTDATE;FLQUEUEDATE;FLCATEGORY;FLSUBCATEGORY;FLQUEUENUMBER;N_APPLICATIONS;IN_FL;ADDRESS_REGISTRATION_STATUS;REGION_APPLICANT;REAL_ESTATE_STATUS;DEAD_STATUS;N_CRITERIA_FAILED;STATUS_FAILED;SK_FAMILY_ID;FAMILY_CAT_NEW;CNT_MEM;SDU_LOAD_IN_DT
650381652103;2024-07-24 21:56:44;2021-03-08 21:56:44;Госслужащие;Неполная семья;2157;1;ИИН есть в реестре ФЛ;Нет прописки;Туркестанская;Есть недвижимость;Умер;0;Не соответствует;15730062;A;10;2025-06-09 12:03:57
668799399210;2023-09-03 05:16:35;2020-01-01 05:16:35;Неполные семьи;Пенсионеры по возрасту;8612;4;ИИН есть в реестре ФЛ;Нет прописки;Атырауская;Нет недвижимости;Умер;1;Соответствует;77286962;A;2;2025-06-23 02:49:35
688299636652;2024-03-15 19:45:41;2021-01-11 19:45:41;Пенсионеры;Лица с инвалидностью;749;2;ИИН есть в реестре ФЛ;Есть прописка;Улытауская;Есть недвижимость;Живой;2;Соответствует;40249692;B;5;2025-06-22 13:07:13
925565946957;2024-05-17 13:56:29;2021-05-25 13:56:29;Пенсионеры;Пенсионеры по возрасту;6699;2;ИИН есть в реестре ФЛ;Есть прописка;Шымкент;Есть недвижимость;Живой;1;Не соответствует;64694497;D;5;2025-06-17 01:21:31
364962099996;2023-10-21 21:53:05;2019-10-05 21:53:05;Госслужащие;Лица с инвалидностью;3914;1;ИИН есть в реестре ФЛ;Нет прописки;Алматы;Есть недвижимость;Умер;1;Соответствует;52537544;D;4;2025-05-31 10:04:20
894435561016;2024-06-13 06:03:14;2023-05-06 06:03:14;Неполные семьи;Неполная семья;7611;5;ИИН есть в реестре ФЛ;Есть прописка;Астана;Есть недвижимость;Умер;0;Соответствует;94943548;C;10;2025-06-01 03:33:51
591555945133;2023-08-13 11:47:01;2020-05-23 11:47:01;Пенсионеры;Неполная семья;6481;1;ИИН есть в реестре ФЛ;Нет прописки;Актюбинская;Есть недвижимость;Умер;1;Соответствует;16891910;A;6;2025-05-27 11:15:55
164783206050;2023-12-15 11:37:56;2022-10-04 11:37:56;Госслужащие;Пенсионеры по возрасту;4830;4;ИИН есть в реестре ФЛ;Есть прописка;Жетысуская;Есть недвижимость;Живой;1;Частично соответствует;19123728;A;8;2025-06-01 10:33:17
851430878387;2023-12-26 14:30:37;2023-08-10 14:30:37;Неполные семьи;Неполная семья;8814;1;ИИН есть в реестре ФЛ;Нет прописки;Мангистауская;Есть недвижимость;Живой;1;Соответствует;29303634;B;8;2025-06-19 02:59:43
862478945190;2023-12-24 13:46:28;2021-09-30 13:46:28;Пенсионеры;Неполная семья;9572;3;ИИН есть в реестре ФЛ;Есть прописка;Астана;Нет недвижимости;Живой;0;Частично соответствует;44089406;C;9;2025-06-07 04:00:10
794493179992;2023-08-06 19:55:54;2020-09-14 19:55:54;Многодетные семьи;Пенсионеры по возрасту;9116;3;ИИН есть в реестре ФЛ;Нет прописки;СКО;Нет недвижимости;Умер;1;Частично соответствует;36872922;D;9;2025-06-09 03:44:25
277456585011;2023-10-14 14:16:43;2023-02-07 14:16:43;Госслужащие;Неполная семья;3092;3;ИИН есть в реестре ФЛ;Есть прописка;Алматы;Нет недвижимости;Живой;2;Не соответствует;28082928;D;10;2025-05-31 21:37:30
939933848667;2024-04-21 08:30:25;2022-10-28 08:30:25;Госслужащие;Малообеспеченные;642;1;ИИН есть в реестре ФЛ;Есть прописка;Жамбылская;Есть недвижимость;Умер;2;Не соответствует;67945891;B;7;2025-06-12 15:58:30
807240272827;2025-04-17 07:48:15;2024-12-27 07:48:15;Неполные семьи;Малообеспеченные;8869;4;ИИН есть в реестре ФЛ;Нет прописки;Улытауская;Нет недвижимости;Живой;3;Не соответствует;99239935;B;2;2025-05-26 16:53:07
489623785774;2025-05-04 05:41:47;2021-09-17 05:41:47;Госслужащие;Семьи с детьми-инвалидами;6762;3;ИИН есть в реестре ФЛ;Нет прописки;Астана;Есть недвижимость;Живой;2;Не соответствует;54539182;A;4;2025-06-05 06:08:55
793546105840;2023-11-17 06:21:45;2021-12-09 06:21:45;Госслужащие;Неполная семья;9238;4;ИИН есть в реестре ФЛ;Есть прописка;ЗКО;Нет недвижимости;Умер;3;Соответствует;93700216;B;6;2025-06-14 09:55:41
759007817964;2024-06-25 13:18:19;2022-11-02 13:18:19;Социально-уязвимые;Лица с инвалидностью;414;4;ИИН есть в реестре ФЛ;Есть прописка;Шымкент;Есть недвижимость;Живой;3;Соответствует;87408832;A;6;2025-05-31 22:11:38
681644501398;2024-02-12 23:28:48;2022-04-15 23:28:48;Пенсионеры;Малообеспеченные;3342;3;ИИН есть в реестре ФЛ;Нет прописки;Абайская;Нет недвижимости;Умер;3;Частично соответствует;78545270;B;4;2025-05-29 16:12:59
670338859961;2023-08-31 21:12:21;2020-07-24 21:12:21;Социально-уязвимые;Неполная семья;7954;2;ИИН есть в реестре ФЛ;Есть прописка;Алматинская;Нет недвижимости;Умер;0;Частично соответствует;11841061;A;6;2025-06-18 03:16:37
416387446490;2023-09-04 05:28:52;2022-06-26 05:28:52;Неполные семьи;Лица с инвалидностью;325;1;ИИН есть в реестре ФЛ;Нет прописки;Карагандинская;Есть недвижимость;Живой;1;Соответствует;60374540;B;4;2025-06-15 10:45:19
104600671422;2025-02-18 19:48:13;2022-06-22 19:48:13;Неполные семьи;Семьи с детьми-инвалидами;6356;5;ИИН есть в реестре ФЛ;Нет прописки;Кызылординская;Есть недвижимость;Живой;2;Не соответствует;18655157;A;1;2025-06-06 08:18:43
287033731108;2025-01-04 23:58:16;2023-02-25 23:58:16;Госслужащие;Малообеспеченные;8328;2;ИИН есть в реестре ФЛ;Есть прописка;Павлодарская;Есть недвижимость;Умер;1;Частично соответствует;31152728;B;7;2025-05-29 12:07:46
611913898816;2024-08-21 19:46:55;2022-09-24 19:46:55;Неполные семьи;Лица с инвалидностью;3950;4;ИИН есть в реестре ФЛ;Есть прописка;Жетысуская;Есть недвижимость;Живой;2;Соответствует;38251202;A;5;2025-06-07 02:26:20
805379232105;2025-05-15 23:31:08;2021-12-28 23:31:08;Неполные семьи;Пенсионеры по возрасту;2805;4;ИИН есть в реестре ФЛ;Нет прописки;Костанайская;Есть недвижимость;Умер;3;Не соответствует;64540751;A;6;2025-06-05 15:54:56
305531754761;2024-02-15 18:41:07;2022-06-19 18:41:07;Социально-уязвимые;Малообеспеченные;9245;3;ИИН есть в реестре ФЛ;Есть прописка;Астана;Есть недвижимость;Умер;3;Не соответствует;27586127;D;5;2025-06-05 03:56:37
883983321770;2024-04-14 13:06:20;2023-09-18 13:06:20;Госслужащие;Малообеспеченные;4946;1;ИИН есть в реестре ФЛ;Нет прописки;Алматинская;Нет недвижимости;Умер;2;Соответствует;48457018;D;1;2025-06-01 18:07:03
431817089522;2024-05-20 11:04:59;2022-11-14 11:04:59;Многодетные семьи;Пенсионеры по возрасту;3218;4;ИИН есть в реестре ФЛ;Нет прописки;Жамбылская;Есть недвижимость;Умер;0;Не соответствует;48331835;C;9;2025-06-24 01:28:01
322787215540;2023-10-23 19:50:44;2020-08-26 19:50:44;Госслужащие;Лица с инвалидностью;7516;3;ИИН есть в реестре ФЛ;Нет прописки;Кызылординская;Есть недвижимость;Живой;0;Соответствует;63333870;B;10;2025-06-08 12:12:40
216075978023;2025-04-23 17:22:28;2023-02-23 17:22:28;Пенсионеры;Лица с инвалидностью;9434;2;ИИН есть в реестре ФЛ;Есть прописка;Атырауская;Есть недвижимость;Умер;2;Не соответствует;77295668;C;3;2025-06-21 04:03:26
535430440114;2023-12-23 17:17:57;2020-08-18 17:17:57;Пенсионеры;Неполная семья;2124;5;ИИН есть в реестре ФЛ;Есть прописка;Костанайская;Нет недвижимости;Живой;3;Не соответствует;60837441;A;5;2025-06-18 21:43:05
855569890667;2024-10-04 08:04:28;2021-08-23 08:04:28;Пенсионеры;Пенсионеры по возрасту;3010;3;ИИН есть в реестре ФЛ;Нет прописки;СКО;Есть недвижимость;Живой;3;Частично соответствует;89596019;D;8;2025-06-22 13:47:42
891303932894;2025-04-01 15:03:05;2024-04-13 15:03:05;Социально-уязвимые;Семьи с детьми-инвалидами;6673;5;ИИН есть в реестре ФЛ;Есть прописка;Астана;Нет недвижимости;Живой;0;Соответствует;89291374;B;7;2025-05-26 13:16:05
644013387736;2023-09-02 03:13:16;2021-01-07 03:13:16;Госслужащие;Лица с инвалидностью;6569;3;ИИН есть в реестре ФЛ;Есть прописка;Жетысуская;Есть недвижимость;Умер;2;Соответствует;11406185;D;1;2025-06-06 10:21:33
766756910339;2024-07-19 10:31:06;2022-05-17 10:31:06;Госслужащие;Пенсионеры по возрасту;256;5;ИИН есть в реестре ФЛ;Есть прописка;ЗКО;Нет недвижимости;Живой;2;Не соответствует;16211038;A;10;2025-05-31 14:55:57
309276973104;2023-07-24 16:15:50;2020-02-24 16:15:50;Неполные семьи;Пенсионеры по возрасту;7217;2;ИИН есть в реестре ФЛ;Есть прописка;Астана;Есть недвижимость;Живой;0;Частично соответствует;70316923;D;7;2025-06-01 17:05:00
326764319823;2023-11-16 21:40:18;2023-03-01 21:40:18;Многодетные семьи;Неполная семья;4484;1;ИИН есть в реестре ФЛ;Есть прописка;Карагандинская;Есть недвижимость;Умер;1;Частично соответствует;93512788;C;7;2025-06-02 11:25:05
534882456715;2023-10-03 09:49:28;2021-02-11 09:49:28;Неполные семьи;Неполная семья;8542;5;ИИН есть в реестре ФЛ;Нет прописки;СКО;Нет недвижимости;Умер;1;Не соответствует;63797594;D;7;2025-06-07 15:42:07
804931848828;2024-06-20 08:39:43;2024-03-06 08:39:43;Госслужащие;Семьи с детьми-инвалидами;775;4;ИИН есть в реестре ФЛ;Есть прописка;Алматинская;Есть недвижимость;Живой;1;Частично соответствует;27415415;B;8;2025-06-11 11:30:45
230017006680;2024-06-21 16:52:10;2021-11-08 16:52:10;Многодетные семьи;Неполная семья;846;3;ИИН есть в реестре ФЛ;Нет прописки;Астана;Есть недвижимость;Умер;1;Соответствует;85001046;B;8;2025-05-31 03:46:04
788744207547;2024-03-04 11:29:37;2023-06-09 11:29:37;Социально-уязвимые;Неполная семья;138;5;ИИН есть в реестре ФЛ;Есть прописка;СКО;Есть недвижимость;Живой;3;Соответствует;46288306;D;5;2025-05-31 08:55:21
451627925992;2025-02-02 22:35:02;2022-10-10 22:35:02;Госслужащие;Семьи с детьми-инвалидами;8828;5;ИИН есть в реестре ФЛ;Нет прописки;Алматинская;Нет недвижимости;Умер;3;Не соответствует;79120576;D;2;2025-06-07 23:05:53
760840336080;2024-08-20 22:59:38;2021-12-18 22:59:38;Неполные семьи;Пенсионеры по возрасту;7132;5;ИИН есть в реестре ФЛ;Нет прописки;Павлодарская;Есть недвижимость;Живой;3;Частично соответствует;83558823;D;9;2025-06-21 19:26:44
770571414460;2023-07-15 19:19:33;2021-03-28 19:19:33;Многодетные семьи;Пенсионеры по возрасту;8803;1;ИИН есть в реестре ФЛ;Нет прописки;Костанайская;Есть недвижимость;Умер;2;Частично соответствует;72853082;C;8;2025-06-19 10:58:15
936207900125;2023-09-24 17:51:03;2021-08-15 17:51:03;Социально-уязвимые;Пенсионеры по возрасту;6634;2;ИИН есть в реестре ФЛ;Есть прописка;Жетысуская;Есть недвижимость;Умер;1;Не соответствует;97948611;D;3;2025-06-22 19:23:00
479161061646;2024-09-16 10:20:29;2024-01-25 10:20:29;Многодетные семьи;Малообеспеченные;1111;3;ИИН есть в реестре ФЛ;Есть прописка;ЗКО;Нет недвижимости;Умер;1;Соответствует;57755629;A;1;2025-05-27 13:13:56
496198569220;2025-02-19 03:32:54;2021-03-05 03:32:54;Социально-уязвимые;Семьи с детьми-инвалидами;498;3;ИИН есть в реестре ФЛ;Нет прописки;ЗКО;Есть недвижимость;Умер;3;Соответствует;40170209;B;2;2025-06-14 16:13:44
774384429616;2024-11-08 21:01:17;2024-02-20 21:01:17;Неполные семьи;Семьи с детьми-инвалидами;3029;3;ИИН есть в реестре ФЛ;Есть прописка;Шымкент;Нет недвижимости;Живой;3;Частично соответствует;43761568;A;10;2025-06-19 05:24:47
279615332903;2024-02-05 09:59:39;2021-05-22 09:59:39;Многодетные семьи;Неполная семья;3042;5;ИИН есть в реестре ФЛ;Есть прописка;Атырауская;Есть недвижимость;Живой;0;Соответствует;56815029;D;1;2025-06-17 18:38:37
676254681474;2024-10-03 11:05:01;2021-11-22 11:05:01;Социально-уязвимые;Семьи с детьми-инвалидами;2739;4;ИИН есть в реестре ФЛ;Есть прописка;Жамбылская;Нет недвижимости;Умер;0;Не соответствует;49074716;D;1;2025-06-14 12:22:05
854817026767;2024-08-03 03:57:49;2021-10-20 03:57:49;Социально-уязвимые;Лица с инвалидностью;4504;5;ИИН есть в реестре ФЛ;Нет прописки;Мангистауская;Есть недвижимость;Живой;3;Не соответствует;95386652;A;8;2025-06-13 12:28:01
690940210183;2024-12-11 19:16:30;2023-02-28 19:16:30;Госслужащие;Пенсионеры по возрасту;6782;4;ИИН есть в реестре ФЛ;Нет прописки;Актюбинская;Есть недвижимость;Живой;1;Соответствует;47725921;D;7;2025-06-15 16:16:33
688181922078;2024-01-12 05:59:27;2023-04-02 05:59:27;Пенсионеры;Лица с инвалидностью;646;2;ИИН есть в реестре ФЛ;Нет прописки;Костанайская;Есть недвижимость;Живой;0;Не соответствует;30412411;C;2;2025-06-16 22:39:29
912016263840;2024-03-10 22:14:00;2020-02-15 22:14:00;Неполные семьи;Лица с инвалидностью;2424;3;ИИН есть в реестре ФЛ;Нет прописки;Улытауская;Есть недвижимость;Живой;3;Частично соответствует;75095464;A;1;2025-05-25 18:31:01
767796198433;2024-02-15 17:01:46;2023-07-09 17:01:46;Пенсионеры;Пенсионеры по возрасту;6454;3;ИИН есть в реестре ФЛ;Нет прописки;Жамбылская;Нет недвижимости;Умер;1;Не соответствует;33719244;B;4;2025-06-21 22:54:58
890729409828;2024-07-23 22:57:44;2024-04-08 22:57:44;Многодетные семьи;Малообеспеченные;6636;3;ИИН есть в реестре ФЛ;Нет прописки;Атырауская;Нет недвижимости;Живой;3;Соответствует;32676830;A;5;2025-06-15 17:24:11
251670814863;2023-09-07 21:36:30;2022-07-23 21:36:30;Пенсионеры;Семьи с детьми-инвалидами;620;4;ИИН есть в реестре ФЛ;Нет прописки;Астана;Нет недвижимости;Живой;2;Не соответствует;98688987;A;3;2025-06-07 20:27:33
182054699132;2023-12-13 19:51:50;2021-06-07 19:51:50;Многодетные семьи;Лица с инвалидностью;3274;5;ИИН есть в реестре ФЛ;Есть прописка;Шымкент;Нет недвижимости;Умер;3;Соответствует;87167724;A;2;2025-06-20 21:39:49
184175298454;2025-05-04 02:23:16;2025-02-19 02:23:16;Пенсионеры;Малообеспеченные;5879;2;ИИН есть в реестре ФЛ;Нет прописки;Карагандинская;Нет недвижимости;Умер;3;Не соответствует;55469468;B;4;2025-06-15 12:27:14
719879211966;2024-12-04 07:38:58;2023-07-09 07:38:58;Многодетные семьи;Семьи с детьми-инвалидами;6083;3;ИИН есть в реестре ФЛ;Нет прописки;Алматы;Есть недвижимость;Умер;3;Не соответствует;26588461;C;1;2025-06-23 22:15:55
115746846146;2024-07-30 21:53:41;2021-07-25 21:53:41;Неполные семьи;Лица с инвалидностью;2767;2;ИИН есть в реестре ФЛ;Есть прописка;Туркестанская;Есть недвижимость;Живой;3;Частично соответствует;77947915;A;1;2025-06-04 14:09:37
417965676331;2024-10-26 02:40:12;2023-07-28 02:40:12;Социально-уязвимые;Неполная семья;7006;2;ИИН есть в реестре ФЛ;Нет прописки;ЗКО;Нет недвижимости;Живой;2;Соответствует;56885890;C;9;2025-06-15 23:41:30
749641196316;2025-01-19 08:54:55;2021-03-27 08:54:55;Госслужащие;Семьи с детьми-инвалидами;3373;2;ИИН есть в реестре ФЛ;Нет прописки;Астана;Есть недвижимость;Живой;1;Соответствует;27214813;A;6;2025-06-10 07:33:45
528482048307;2025-01-05 11:57:28;2024-12-01 11:57:28;Неполные семьи;Пенсионеры по возрасту;9144;3;ИИН есть в реестре ФЛ;Есть прописка;Карагандинская;Нет недвижимости;Живой;0;Соответствует;13689609;B;7;2025-06-17 09:29:56
599466651359;2023-11-27 23:07:10;2022-02-11 23:07:10;Пенсионеры;Пенсионеры по возрасту;7626;3;ИИН есть в реестре ФЛ;Есть прописка;ЗКО;Нет недвижимости;Умер;2;Не соответствует;54806156;A;7;2025-06-09 11:03:50
136840375600;2024-06-29 12:12:23;2024-05-21 12:12:23;Госслужащие;Малообеспеченные;2128;1;ИИН есть в реестре ФЛ;Есть прописка;Туркестанская;Есть недвижимость;Умер;2;Соответствует;50068319;D;9;2025-06-15 06:13:53
896386796553;2024-08-06 14:18:37;2021-01-13 14:18:37;Пенсионеры;Лица с инвалидностью;7887;2;ИИН есть в реестре ФЛ;Нет прописки;Шымкент;Нет недвижимости;Живой;0;Частично соответствует;27826132;B;2;2025-06-08 14:17:40
810731823457;2024-05-31 22:19:17;2023-10-11 22:19:17;Социально-уязвимые;Неполная семья;2027;5;ИИН есть в реестре ФЛ;Есть прописка;Кызылординская;Есть недвижимость;Умер;1;Частично соответствует;85077927;D;3;2025-06-23 07:32:49
362200305307;2025-01-22 03:48:13;2024-06-29 03:48:13;Многодетные семьи;Лица с инвалидностью;8818;4;ИИН есть в реестре ФЛ;Нет прописки;Алматинская;Нет недвижимости;Умер;3;Соответствует;81620320;B;2;2025-05-27 07:25:42
828888829591;2024-04-16 19:15:13;2024-01-23 19:15:13;Многодетные семьи;Лица с инвалидностью;8856;2;ИИН есть в реестре ФЛ;Есть прописка;Улытауская;Есть недвижимость;Умер;3;Соответствует;48464105;A;6;2025-05-28 22:46:20
991005892373;2024-10-13 00:13:23;2024-05-21 00:13:23;Госслужащие;Неполная семья;3960;3;ИИН есть в реестре ФЛ;Есть прописка;Костанайская;Есть недвижимость;Умер;2;Соответствует;69085980;C;7;2025-06-10 23:06:25
375357565887;2024-05-16 18:46:07;2022-12-01 18:46:07;Многодетные семьи;Пенсионеры по возрасту;1029;3;ИИН есть в реестре ФЛ;Нет прописки;Жамбылская;Есть недвижимость;Умер;3;Соответствует;96872609;D;3;2025-06-06 21:02:48
925292020548;2025-01-14 04:39:25;2021-01-03 04:39:25;Неполные семьи;Семьи с детьми-инвалидами;2787;4;ИИН есть в реестре ФЛ;Нет прописки;Павлодарская;Нет недвижимости;Живой;2;Не соответствует;39224660;C;6;2025-05-31 07:42:09
405513601169;2024-02-15 18:35:49;2020-03-08 18:35:49;Социально-уязвимые;Лица с инвалидностью;3694;2;ИИН есть в реестре ФЛ;Нет прописки;Улытауская;Есть недвижимость;Умер;3;Не соответствует;31847475;A;5;2025-06-13 03:36:34
969914643250;2024-01-06 04:45:46;2021-03-01 04:45:46;Социально-уязвимые;Лица с инвалидностью;4510;1;ИИН есть в реестре ФЛ;Нет прописки;Жамбылская;Есть недвижимость;Умер;3;Соответствует;40530250;D;7;2025-06-14 16:42:57
452700086021;2023-08-14 12:11:49;2019-08-04 12:11:49;Пенсионеры;Неполная семья;9155;4;ИИН есть в реестре ФЛ;Есть прописка;Астана;Нет недвижимости;Живой;0;Не соответствует;92558516;B;7;2025-06-11 20:36:54
471854759256;2023-12-30 11:02:06;2021-10-06 11:02:06;Неполные семьи;Малообеспеченные;3543;5;ИИН есть в реестре ФЛ;Нет прописки;Актюбинская;Нет недвижимости;Живой;3;Соответствует;35020716;D;6;2025-06-12 02:46:41
639453666916;2023-12-10 01:20:08;2023-06-26 01:20:08;Госслужащие;Лица с инвалидностью;2796;2;ИИН есть в реестре ФЛ;Есть прописка;Улытауская;Нет недвижимости;Живой;1;Частично соответствует;64950565;B;4;2025-06-04 20:53:44
173190617947;2024-02-09 21:50:11;2022-02-17 21:50:11;Пенсионеры;Лица с инвалидностью;9899;2;ИИН есть в реестре ФЛ;Есть прописка;СКО;Есть недвижимость;Живой;0;Не соответствует;47043756;C;4;2025-06-16 21:22:03
160196005164;2023-11-19 12:55:22;2020-11-29 12:55:22;Неполные семьи;Неполная семья;9520;5;ИИН есть в реестре ФЛ;Нет прописки;Улытауская;Нет недвижимости;Живой;2;Частично соответствует;96358954;C;1;2025-06-13 05:36:41
288331183530;2023-09-15 10:14:27;2021-11-20 10:14:27;Многодетные семьи;Лица с инвалидностью;123;5;ИИН есть в реестре ФЛ;Есть прописка;ЗКО;Нет недвижимости;Умер;3;Соответствует;65286896;B;4;2025-06-22 06:06:36
829854060207;2024-04-30 00:16:32;2020-05-24 00:16:32;Многодетные семьи;Семьи с детьми-инвалидами;4788;4;ИИН есть в реестре ФЛ;Есть прописка;Костанайская;Нет недвижимости;Умер;2;Частично соответствует;64987925;C;5;2025-06-10 12:47:35
597511319574;2025-03-05 09:09:44;2023-02-01 09:09:44;Госслужащие;Семьи с детьми-инвалидами;5576;2;ИИН есть в реестре ФЛ;Нет прописки;Абайская;Есть недвижимость;Умер;3;Соответствует;59397620;B;5;2025-06-14 21:27:38
667672708220;2023-08-05 09:35:24;2023-07-04 09:35:24;Пенсионеры;Семьи с детьми-инвалидами;9113;2;ИИН есть в реестре ФЛ;Нет прописки;Жамбылская;Есть недвижимость;Умер;0;Частично соответствует;54638913;A;5;2025-06-07 21:10:01
501389559844;2024-01-20 13:14:22;2023-01-13 13:14:22;Многодетные семьи;Семьи с детьми-инвалидами;9817;5;ИИН есть в реестре ФЛ;Нет прописки;Туркестанская;Нет недвижимости;Умер;0;Не соответствует;92559365;C;5;2025-06-03 16:49:53
